Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,WinDiff,CombinedRating,OTToss
96,TAM,2008,2008-12-14,1:03,1:03,@,ATL,15,14,Sun,L 10-13,OT,-2.0,-4.7,Buccaneers
97,CHI,2008,2008-12-11,8:14,7:14,,NOR,15,14,Thu,W 27-24,OT,1.0,9.7,Bears
98,NOR,2008,2008-12-11,8:14,7:14,@,CHI,15,14,Thu,L 24-27,OT,-1.0,9.7,Bears
99,CIN,2008,2008-11-16,1:03,1:03,,PHI,11,10,Sun,T 13-13,OT,-5.0,-5.300000000000002,Eagles
100,PHI,2008,2008-11-16,1:03,1:03,@,CIN,11,10,Sun,T 13-13,OT,5.0,-5.300000000000002,Eagles
101,NWE,2008,2008-11-13,8:15,8:15,,NYJ,11,10,Thu,L 31-34,OT,2.0,4.799999999999999,Jets
102,NYJ,2008,2008-11-13,8:15,8:15,@,NWE,11,10,Thu,W 34-31,OT,-2.0,4.799999999999999,Jets
103,GNB,2008,2008-11-02,1:02,12:02,@,TEN,9,8,Sun,L 16-19,OT,-7.0,-0.7000000000000002,Titans
104,KAN,2008,2008-11-02,1:03,12:03,,TAM,9,8,Sun,L 27-30,OT,-7.0,-2.0999999999999996,Buccaneers
105,TEN,2008,2008-11-02,1:02,12:02,,GNB,9,8,Sun,W 19-16,OT,7.0,-0.7000000000000002,Titans
106,TAM,2008,2008-11-02,1:03,12:03,@,KAN,9,9,Sun,W 30-27,OT,7.0,-2.0999999999999996,Buccaneers
107,NYJ,2008,2008-10-19,4:15,1:15,@,OAK,7,6,Sun,L 13-16,OT,4.0,-1.3999999999999995,Jets
108,OAK,2008,2008-10-19,4:15,1:15,,NYJ,7,6,Sun,W 16-13,OT,-4.0,-1.3999999999999995,Jets
109,ARI,2008,2008-10-12,4:15,1:15,,DAL,6,6,Sun,W 30-24,OT,0.0,13.0,Cowboys
110,DAL,2008,2008-10-12,4:15,1:15,@,ARI,6,6,Sun,L 24-30,OT,0.0,13.0,Cowboys
111,PIT,2008,2008-09-29,8:40,8:40,,BAL,4,4,Mon,W 23-20,OT,1.0,-7.999999999999998,Ravens
