Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,WinDiff,CombinedRating,OTToss
111,TAM,2013,2013-11-03,4:05,1:05,@,SEA,9,8,Sun,L 24-27,OT,-9.0,-15.600000000000001,Buccaneers
112,WAS,2013,2013-11-03,1:03,1:03,,SDG,9,8,Sun,W 30-24,OT,-6.0,-11.9,Redskins
113,CIN,2013,2013-10-31,8:29,8:29,@,MIA,9,9,Thu,L 20-22,OT,3.0,6.1,Dolphins
114,MIA,2013,2013-10-31,8:29,8:29,,CIN,9,8,Thu,W 22-20,OT,-3.0,-6.1,Dolphins
115,NWE,2013,2013-10-20,1:03,1:03,@,NYJ,7,7,Sun,L 27-30,OT,4.0,12.0,Patriots
116,NYJ,2013,2013-10-20,1:03,1:03,,NWE,7,7,Sun,W 30-27,OT,-4.0,-12.0,Patriots
117,BUF,2013,2013-10-13,1:02,1:02,,CIN,6,6,Sun,L 24-27,OT,-5.0,-8.5,Bengals
118,CIN,2013,2013-10-13,1:02,1:02,@,BUF,6,6,Sun,W 27-24,OT,5.0,8.5,Bengals
119,HOU,2013,2013-09-29,1:03,12:03,,SEA,4,4,Sun,L 20-23,OT,-11.0,-20.6,Texans
120,SEA,2013,2013-09-29,1:03,12:03,@,HOU,4,4,Sun,W 23-20,OT,11.0,20.6,Texans
121,HOU,2013,2013-09-15,1:03,12:03,,TEN,2,2,Sun,W 30-24,OT,-5.0,-6.800000000000001,Texans
122,TEN,2013,2013-09-15,1:03,12:03,@,HOU,2,2,Sun,L 24-30,OT,5.0,6.800000000000001,Texans
123,DAL,2012,2012-12-23,1:02,12:02,,NOR,16,15,Sun,L 31-34,OT,1.0,-1.2000000000000002,Cowboys
124,NOR,2012,2012-12-23,1:02,12:02,@,DAL,16,15,Sun,W 34-31,OT,-1.0,1.2000000000000002,Cowboys
125,DAL,2012,2012-12-16,4:25,3:25,,PIT,15,14,Sun,W 27-24,OT,0.0,0.8999999999999997,Steelers
126,PIT,2012,2012-12-16,4:25,3:25,@,DAL,15,14,Sun,L 24-27,OT,0.0,-0.8999999999999997,Steelers
127,BAL,2012,2012-12-09,1:03,1:03,@,WAS,14,13,Sun,L 28-31,OT,0.0,-0.5,Ravens
128,WAS,2012,2012-12-09,1:03,1:03,,BAL,14,13,Sun,W 31-28,OT,0.0,0.5,Ravens
129,CHI,2012,2012-12-02,1:03,12:03,,SEA,13,12,Sun,L 17-23,OT,-1.0,-5.2,Seahawks
130,STL,2012,2012-12-02,1:00,12:00,,SFO,13,12,Sun,W 16-13,OT,-4.0,-9.9,Rams
131,SEA,2012,2012-12-02,1:03,12:03,@,CHI,13,12,Sun,W 23-17,OT,1.0,5.2,Seahawks
132,SFO,2012,2012-12-02,1:00,12:00,@,STL,13,12,Sun,L 13-16,OT,4.0,9.9,Rams
133,BAL,2012,2012-11-25,4:05,1:05,@,SDG,12,11,Sun,W 16-13,OT,3.0,5.3,Chargers
134,SDG,2012,2012-11-25,4:05,1:05,,BAL,12,11,Sun,L 13-16,OT,-3.0,-5.3,Chargers
135,DET,2012,2012-11-22,12:39,12:39,,HOU,12,11,Thu,L 31-34,OT,-8.0,-5.8,Lions
136,HOU,2012,2012-11-22,12:39,12:39,@,DET,12,11,Thu,W 34-31,OT,8.0,5.8,Lions
137,CAR,2012,2012-11-18,1:04,1:04,,TAM,11,10,Sun,L 21-27,OT,0.0,0.8,Buccaneers
138,CLE,2012,2012-11-18,1:04,12:04,@,DAL,11,10,Sun,L 20-23,OT,-3.0,-5.499999999999999,Cowboys
139,DAL,2012,2012-11-18,1:04,12:04,,CLE,11,10,Sun,W 23-20,OT,3.0,5.499999999999999,Cowboys
140,HOU,2012,2012-11-18,1:03,12:03,,JAX,11,10,Sun,W 43-37,OT,10.0,16.5,Texans
141,JAX,2012,2012-11-18,1:03,12:03,@,HOU,11,10,Sun,L 37-43,OT,-10.0,-16.5,Texans
142,TAM,2012,2012-11-18,1:04,1:04,@,CAR,11,10,Sun,W 27-21,OT,0.0,-0.8,Buccaneers
143,KAN,2012,2012-11-12,8:40,8:40,@,PIT,10,9,Mon,L 13-16,OT,-6.0,-13.3,Chiefs
144,PIT,2012,2012-11-12,8:40,8:40,,KAN,10,9,Mon,W 16-13,OT,6.0,13.3,Chiefs
145,STL,2012,2012-11-11,4:25,1:25,@,SFO,10,9,Sun,T 24-24,OT,-4.0,-9.9,Rams
146,SFO,2012,2012-11-11,4:25,1:25,,STL,10,9,Sun,T 24-24,OT,4.0,9.9,Rams
147,IND,2012,2012-10-28,1:06,12:06,@,TEN,8,7,Sun,W 19-13,OT,5.0,5.300000000000001,Colts
148,TEN,2012,2012-10-28,1:06,12:06,,IND,8,8,Sun,L 13-19,OT,-5.0,-5.300000000000001,Colts
149,JAX,2012,2012-10-21,4:25,1:25,@,OAK,7,6,Sun,L 23-26,OT,-2.0,-2.2,Jaguars
150,NWE,2012,2012-10-21,4:25,4:25,,NYJ,7,7,Sun,W 29-26,OT,6.0,18.7,Patriots
151,NYJ,2012,2012-10-21,4:25,4:25,@,NWE,7,7,Sun,L 26-29,OT,-6.0,-18.7,Patriots
152,OAK,2012,2012-10-21,4:25,1:25,,JAX,7,6,Sun,W 26-23,OT,2.0,2.2,Jaguars
153,BUF,2012,2012-10-14,4:05,1:05,@,ARI,6,6,Sun,W 19-16,OT,1.0,-3.5,Bills
154,ARI,2012,2012-10-14,4:05,1:05,,BUF,6,6,Sun,L 16-19,OT,-1.0,3.5,Bills
155,DET,2012,2012-10-14,1:03,1:03,@,PHI,6,5,Sun,W 26-23,OT,0.0,6.6,Eagles
156,PHI,2012,2012-10-14,1:03,1:03,,DET,6,6,Sun,L 23-26,OT,0.0,-6.6,Eagles
157,ARI,2012,2012-09-30,4:05,1:05,,MIA,4,4,Sun,W 24-21,OT,-2.0,-0.5999999999999996,Cardinals
158,MIA,2012,2012-09-30,4:05,1:05,@,ARI,4,4,Sun,L 21-24,OT,2.0,0.5999999999999996,Cardinals
159,DET,2012,2012-09-23,1:03,12:03,@,TEN,3,3,Sun,L 41-44,OT,-2.0,7.699999999999999,Titans
160,KAN,2012,2012-09-23,1:02,12:02,@,NOR,3,3,Sun,W 27-24,OT,-5.0,-15.4,Chiefs
161,MIA,2012,2012-09-23,1:03,1:03,,NYJ,3,3,Sun,L 20-23,OT,1.0,3.4000000000000004,Jets
162,NOR,2012,2012-09-23,1:02,12:02,,KAN,3,3,Sun,L 24-27,OT,5.0,15.4,Chiefs
163,NYJ,2012,2012-09-23,1:03,1:03,@,MIA,3,3,Sun,W 23-20,OT,-1.0,-3.4000000000000004,Jets
164,TEN,2012,2012-09-23,1:03,12:03,,DET,3,3,Sun,W 44-41,OT,2.0,-7.699999999999999,Titans
165,JAX,2012,2012-09-09,1:05,12:05,@,MIN,1,1,Sun,L 23-26,OT,-8.0,-16.4,Vikings
166,MIN,2012,2012-09-09,1:05,12:05,,JAX,1,1,Sun,W 26-23,OT,8.0,16.4,Vikings
